age_group,process_step,Control,Test,difference_in_seconds
<30,confirm,88.78953626634959,96.64970145009951,7.860165183749928
<30,start,124.17042939353696,126.47676837725382,2.3063389837168558
<30,step_1,29.697157267308572,31.161000179888468,1.4638429125798957
<30,step_2,24.26086956521739,38.98378254910918,14.722912983891788
<30,step_3,85.31499429874573,92.35365853658537,7.03866423783964
30-39,confirm,98.81361892583121,95.47562371252003,-3.3379952133111743
30-39,start,123.16122082585278,131.79662423907027,8.635403413217489
30-39,step_1,34.593635486981675,30.739241265557055,-3.85439422142462
30-39,step_2,28.077482876712327,38.70398338682273,10.6265005101104
30-39,step_3,92.84223664503246,93.17980022197558,0.33756357694312555
40-49,confirm,119.84432809773124,108.9019344438474,-10.94239365388384
40-49,start,168.35644310474754,151.10570005534035,-17.25074304940719
40-49,step_1,37.48498031903874,33.76131687242798,-3.7236634466107574
40-49,step_2,34.75361653272101,38.680789798436855,3.927173265715844
40-49,step_3,104.78492893537141,109.72405251424325,4.939123578871843
50-59,confirm,133.71443708609272,139.2750573036049,5.560620217512195
50-59,start,164.11613406079502,149.25849762066622,-14.8576364401288
50-59,step_1,45.53220648698036,39.101942305482126,-6.430264181498231
50-59,step_2,44.883597883597886,51.74283293320153,6.85923504960364
50-59,step_3,110.91185112634672,111.91771708683473,1.0058659604880091
60-69,confirm,165.97391304347826,170.72394881170018,4.75003576822192
60-69,start,164.76671289875173,156.62193095809488,-8.144781940656856
60-69,step_1,52.142279845091764,44.34618217530076,-7.796097669791003
60-69,step_2,49.07524752475248,56.66799265605875,7.592745131306273
60-69,step_3,75.60493827160494,82.81814901677792,7.2132107451729865
70-79,confirm,194.9187165775401,193.96587301587303,-0.9528435616670663
70-79,start,177.45447705041386,182.8992684299381,5.444791379524247
70-79,step_1,66.15290669272106,50.809257185516984,-15.343649507204077
70-79,step_2,57.26813655761024,65.04033379694019,7.772197239329948
70-79,step_3,73.74145616641901,82.87806205770278,9.136605891283764
80+,confirm,206.316091954023,193.47602739726028,-12.840064556762712
80+,start,162.98187311178248,153.2340425531915,-9.747830558590977
80+,step_1,65.53932584269663,45.43069306930693,-20.108632773389694
80+,step_2,67.81428571428572,84.8649193548387,17.050633640552988
80+,step_3,84.42574257425743,92.08994708994709,7.664204515689661
